longitude	frequency power [Hz]	spectral density [dB/Hz]	doppler
 016	1420409750.0	3.43685	999301920.6238614
 016	1421337750.0	3.24588	999954797.1499956
 016	1421041750.0	3.3484199999999995	999746552.0511425
 016	1421045750.0	3.3423199999999995	999749366.1740999
 016	1421049750.0	3.3448599999999997	999752180.2970574
 016	1421053750.0	3.33721	999754994.4200149
 016	1421057750.0	3.34286	999757808.5429723
 016	1421061750.0	3.3396	999760622.6659298
 016	1421065750.0	3.3432800000000005	999763436.7888873
 016	1421069750.0	3.33987	999766250.9118447
 016	1421073750.0	3.3612	999769065.0348022
 016	1421077750.0	3.35144	999771879.1577597
 016	1421081750.0	3.34755	999774693.2807171
 016	1421085750.0	3.35097	999777507.4036746
 016	1421089750.0	3.33606	999780321.5266322
 016	1421093750.0	3.34036	999783135.6495897
 016	1421097750.0	3.34061	999785949.7725471
 016	1421101750.0	3.33535	999788763.8955046
 016	1421105750.0	3.32957	999791578.0184621
 016	1421109750.0	3.3492	999794392.1414195
 016	1421113750.0	3.3278	999797206.264377
 016	1421117750.0	3.3417199999999996	999800020.3873345
 016	1421121750.0	3.33374	999802834.5102919
 016	1421125750.0	3.3303599999999998	999805648.6332494
 016	1421129750.0	3.33671	999808462.7562069
 016	1421133750.0	3.34426	999811276.8791643
 016	1421137750.0	3.3393699999999997	999814091.0021218
 016	1421141750.0	3.3327199999999997	999816905.1250793
 016	1420921750.0	3.3369699999999995	999662128.3624182
 016	1421161750.0	3.3267599999999997	999830975.7398666
 016	1420965750.0	3.33207	999693083.7149504
 016	1421345750.0	3.24452	999960425.3959105
 016	1420977750.0	3.33186	999701526.0838228
 016	1420925750.0	3.34365	999664942.4853756
 016	1420929750.0	3.34968	999667756.6083331
 016	1420933750.0	3.3474800000000005	999670570.7312906
 016	1420937750.0	3.33965	999673384.8542482
 016	1420941750.0	3.3393699999999997	999676198.9772056
 016	1420945750.0	3.32942	999679013.1001631
 016	1420949750.0	3.3079400000000003	999681827.2231206
 016	1420953750.0	3.31543	999684641.346078
 016	1420957750.0	3.33451	999687455.4690355
 016	1420961750.0	3.34186	999690269.591993
 016	1420969750.0	3.35115	999695897.8379079
 016	1421309750.0	3.2703	999935098.2892932
 016	1421305750.0	3.2885800000000005	999932284.1663357
 016	1421301750.0	3.26938	999929470.0433782
 016	1421353750.0	3.24376	999966053.6418254
 016	1420985750.0	3.32482	999707154.3297378
 016	1420989750.0	3.3448599999999997	999709968.4526953
 016	1420993750.0	3.3380099999999997	999712782.5756527
 016	1420997750.0	3.3360800000000004	999715596.6986102
 016	1421001750.0	3.3454599999999997	999718410.8215677
 016	1421005750.0	3.33375	999721224.9445251
 016	1421009750.0	3.3360300000000005	999724039.0674826
 016	1421013750.0	3.3294099999999998	999726853.1904402
 016	1421017750.0	3.33911	999729667.3133976
 016	1421025750.0	3.32272	999735295.5593126
 016	1421029750.0	3.3545300000000005	999738109.68227
 016	1420917750.0	3.33061	999659314.2394607
 016	1421349750.0	3.2576	999963239.518868
 016	1420589750.0	3.30639	999428556.1569479
 016	1421033750.0	3.32608	999740923.8052275
 016	1421341750.0	3.2644	999957611.272953
 016	1421373750.0	3.2431799999999997	999980124.2566128
 016	1421377750.0	3.22475	999982938.3795702
 016	1421381750.0	3.22128	999985752.5025277
 016	1421385750.0	3.2298400000000003	999988566.6254852
 016	1421389750.0	3.22266	999991380.7484428
 016	1421393750.0	3.22398	999994194.8714002
 016	1421285750.0	3.28703	999918213.5515484
 016	1420405750.0	3.4396199999999997	999299106.500904
 016	1421221750.0	3.32721	999873187.5842288
 016	1420753750.0	3.31163	999543935.1982043
 016	1421157750.0	3.3251800000000005	999828161.6169091
 016	1421153750.0	3.32195	999825347.4939517
 016	1421037750.0	3.3384	999743737.928185
 016	1421145750.0	3.3376	999819719.2480367
 016	1421021750.0	3.33377	999732481.4363551
 016	1421149750.0	3.3483699999999996	999822533.3709942
 016	1421321750.0	3.2659	999943540.6581657
 016	1421325750.0	3.26067	999946354.7811232
 016	1421329750.0	3.25227	999949168.9040806
 016	1421273750.0	3.2913300000000003	999909771.182676
 016	1421297750.0	3.27014	999926655.9204208
 016	1421229750.0	3.3096	999878815.8301437
 016	1420897750.0	3.32119	999645243.6246734
 016	1421333750.0	3.26068	999951983.0270381
 016	1421289750.0	3.27502	999921027.6745058
 016	1420973750.0	3.3381199999999995	999698711.9608654
 016	1421293750.0	3.2900099999999997	999923841.7974633
 016	1421365750.0	3.22444	999974496.0106978
 016	1421369750.0	3.22545	999977310.1336553
 016	1421169750.0	3.3236800000000004	999836603.9857817
 016	1421173750.0	3.3324199999999995	999839418.1087391
 016	1421165750.0	3.33776	999833789.8628242
 016	1421177750.0	3.3215800000000004	999842232.2316966
 016	1421181750.0	3.32566	999845046.3546541
 016	1421185750.0	3.3379800000000004	999847860.4776115
 016	1421189750.0	3.3227599999999997	999850674.600569
 016	1421193750.0	3.3143	999853488.7235265
 016	1421197750.0	3.3184199999999997	999856302.846484
 016	1421201750.0	3.3378400000000004	999859116.9694414
 016	1421205750.0	3.32085	999861931.0923989
 016	1421209750.0	3.3210800000000003	999864745.2153563
 016	1420909750.0	3.32385	999653685.9935458
 016	1420913750.0	3.33314	999656500.1165032
 016	1421313750.0	3.25831	999937912.4122508
 016	1420981750.0	3.3283199999999997	999704340.2067803
 016	1421213750.0	3.31934	999867559.3383138
 016	1421233750.0	3.3174300000000003	999881629.9531012
 016	1421237750.0	3.3243400000000003	999884444.0760587
 016	1421241750.0	3.3157300000000003	999887258.1990162
 016	1421245750.0	3.3003	999890072.3219737
 016	1421249750.0	3.3143300000000004	999892886.4449311
 016	1421253750.0	3.31259	999895700.5678886
 016	1421257750.0	3.2933199999999996	999898514.6908461
 016	1421261750.0	3.307	999901328.8138036
 016	1421265750.0	3.30648	999904142.936761
 016	1421269750.0	3.2789599999999997	999906957.0597185
 016	1421217750.0	3.3066199999999997	999870373.4612713
 016	1420905750.0	3.34294	999650871.8705883
 016	1421225750.0	3.31346	999876001.7071862
 016	1421281750.0	3.2941	999915399.4285909
 016	1421357750.0	3.2379599999999997	999968867.7647829
 016	1421361750.0	3.21953	999971681.8877404
 016	1420421750.0	3.44803	999310362.992734
 016	1420601750.0	3.2907300000000004	999436998.5258203
 016	1420605750.0	3.30436	999439812.6487777
 016	1420653750.0	3.3005	999473582.1242675
 016	1421277750.0	3.2914199999999996	999912585.3056334
 016	1420521750.0	3.36135	999380716.0666708
 016	1420417750.0	3.42401	999307548.8697765
 016	1421317750.0	3.2637	999940726.5352082
 016	1420477750.0	3.42907	999349760.7141385
 016	1420657750.0	3.30781	999476396.2472249
 016	1420525750.0	3.3651400000000002	999383530.1896282
 016	1420473750.0	3.4392400000000003	999346946.591181
 016	1420533750.0	3.34597	999389158.4355432
 016	1420649750.0	3.2935	999470768.00131
 016	1420541750.0	3.33866	999394786.6814581
